ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
121,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8693152666091919,-0.585972011089325,3.665191173553467,-1.0892137289047241,0.0,-0.6288574934005737,0.699999988079071,0.0532107800245285,0.0,-0.09214268624782562
122,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.865657389163971,-0.5896298885345459,3.665191173553467,-1.0932053327560425,0.0,-0.6311620473861694,0.699999988079071,0.05241541564464569,0.0,-0.09076888114213943
123,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8620126247406006,-0.5932745933532715,3.665191173553467,-1.0971970558166504,0.0,-0.6334667205810547,0.699999988079071,0.05165750905871391,0.0,-0.08945246040821075
124,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8583811521530151,-0.5969061255455017,3.665191173553467,-1.1011886596679688,0.0,-0.6357712745666504,0.699999988079071,0.05087951198220253,0.0,-0.0881078913807869
125,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8547627925872803,-0.6005244851112366,3.665191173553467,-1.1051803827285767,0.0,-0.6380758881568909,0.699999988079071,0.05014796182513237,0.0,-0.08683370798826218
126,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8511574864387512,-0.6041297912597656,3.665191173553467,-1.1091721057891846,0.0,-0.6403805017471313,0.699999988079071,0.04939302057027817,0.0,-0.08552443236112595
127,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8475651741027832,-0.6077221632003784,3.665191173553467,-1.1131638288497925,0.0,-0.6426851153373718,0.699999988079071,0.04866771027445793,0.0,-0.0842728242278099
128,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8439856767654419,-0.6113016605377197,3.665191173553467,-1.1171555519104004,0.0,-0.6449896693229675,0.699999988079071,0.04794429615139961,0.0,-0.08302062004804611
129,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8404189348220825,-0.6148684024810791,3.665191173553467,-1.1211472749710083,0.0,-0.647294282913208,0.699999988079071,0.04722654074430466,0.0,-0.08178002387285233
130,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8368648290634155,-0.6184223890304565,3.665191173553467,-1.1251389980316162,0.0,-0.6495988965034485,0.699999988079071,0.04651544615626335,0.0,-0.08054383844137192
131,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8333233594894409,-0.6219638586044312,3.665191173553467,-1.1291306018829346,0.0,-0.651903510093689,0.699999988079071,0.04582631587982178,0.0,-0.07935378700494766
132,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8297945261001587,-0.6254928112030029,3.665191173553467,-1.1331223249435425,0.0,-0.6542081236839294,0.699999988079071,0.045117929577827454,0.0,-0.07813218981027603
133,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8262779712677002,-0.6290093660354614,3.665191173553467,-1.1371139287948608,0.0,-0.6565126776695251,0.699999988079071,0.04445177689194679,0.0,-0.07696934789419174
134,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8227735757827759,-0.6325136423110962,3.665191173553467,-1.1411057710647583,0.0,-0.6588173508644104,0.699999988079071,0.04378790408372879,0.0,-0.07582235336303711
135,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8192816972732544,-0.6360055804252625,3.665191173553467,-1.1450973749160767,0.0,-0.6611219048500061,0.699999988079071,0.04311826825141907,0.0,-0.07466240227222443
