ptnum,Rout,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
173,2.0,0.6931471824645996,0.3954949378967285,-0.2976522445678711,0.0,1.3466933965682983,0.0,0.0,1.0,1.932848761043715e-07,0.0,0.11945492774248123
174,2.0,0.6931471824645996,0.39400792121887207,-0.29913926124572754,0.0,1.3486974239349365,0.0,0.0,1.0,2.1462922461523704e-07,0.0,0.11737832427024841
175,2.0,0.6931471824645996,0.3925231397151947,-0.3006240427494049,0.0,1.3507014513015747,0.0,0.0,1.0,3.083071575815666e-08,0.0,0.11534717679023743
176,2.0,0.6931471824645996,0.39104053378105164,-0.302106648683548,0.0,1.352705478668213,0.0,0.0,1.0,4.0672830436960794e-07,0.0,0.11330112814903259
177,2.0,0.6931471824645996,0.3895602226257324,-0.3035869598388672,0.0,1.3547093868255615,0.0,0.0,1.0,-6.557456231348624e-07,0.0,0.11127661913633347
178,2.0,0.6931471824645996,0.38808202743530273,-0.3050651550292969,0.0,1.3567134141921997,0.0,0.0,1.0,-1.5533937869349757e-07,0.0,0.1092662587761879
179,2.0,0.6931471824645996,0.38660597801208496,-0.30654120445251465,0.0,1.358717441558838,0.0,0.0,1.0,-1.1751245665436727e-06,0.0,0.10726235806941986
180,2.0,0.6931471824645996,0.3851321339607239,-0.30801504850387573,0.0,1.360721468925476,0.0,0.0,1.0,-8.063418022175028e-08,0.0,0.10527772456407547
181,2.0,0.6931471824645996,0.3836604356765747,-0.3094867467880249,0.0,1.3627254962921143,0.0,0.0,1.0,1.5415358234349696e-07,0.0,0.10331264138221741
182,2.0,0.6931471824645996,0.382191002368927,-0.3109561800956726,0.0,1.364729404449463,0.0,0.0,1.0,1.9387778138479916e-06,0.0,0.10134702175855637
183,2.0,0.6931471824645996,0.38072365522384644,-0.3124235272407532,0.0,1.366733431816101,0.0,0.0,1.0,-9.711675375001505e-07,0.0,0.09940184652805328
184,2.0,0.6931471824645996,0.3792584240436554,-0.3138887584209442,0.0,1.3687374591827393,0.0,0.0,1.0,1.909132834043703e-07,0.0,0.09746556729078293
185,2.0,0.6931471824645996,0.37779536843299866,-0.31535181403160095,0.0,1.3707414865493774,0.0,0.0,1.0,-1.3518084074348735e-07,0.0,0.09554436802864075
186,2.0,0.6931471824645996,0.37633442878723145,-0.31681275367736816,0.0,1.3727455139160156,0.0,0.0,1.0,-2.2530139531795612e-08,0.0,0.09361530095338821
187,2.0,0.6931471824645996,0.37487560510635376,-0.31827157735824585,0.0,1.3747495412826538,0.0,0.0,1.0,-2.015854505543757e-08,0.0,0.09173557907342911
188,2.0,0.6931471824645996,0.373418927192688,-0.3197282552719116,0.0,1.376753568649292,0.0,0.0,1.0,-2.2221831841306994e-06,0.0,0.08983466774225235
189,2.0,0.6931471824645996,0.3719644546508789,-0.3211827278137207,0.0,1.3787574768066406,0.0,0.0,1.0,-1.3043764290898707e-08,0.0,0.08795108646154404
190,2.0,0.6931471824645996,0.3705120086669922,-0.3226351737976074,0.0,1.3807615041732788,0.0,0.0,1.0,1.4039834468349e-06,0.0,0.08606848120689392
191,2.0,0.6931471824645996,0.369061678647995,-0.3240855038166046,0.0,1.382765531539917,0.0,0.0,1.0,2.401238589300192e-06,0.0,0.08422626554965973
192,2.0,0.6931471824645996,0.36761343479156494,-0.32553374767303467,0.0,1.3847695589065552,0.0,0.0,1.0,1.4193986999089248e-06,0.0,0.08238121122121811
193,2.0,0.6931471824645996,0.3661673069000244,-0.3269798755645752,0.0,1.3867735862731934,0.0,0.0,1.0,-3.320230845815786e-08,0.0,0.08052366226911545
194,2.0,0.6931471824645996,0.3647233247756958,-0.3284238576889038,0.0,1.388777494430542,0.0,0.0,1.0,1.8296844928045175e-06,0.0,0.0787239596247673
195,2.0,0.6931471824645996,0.36328125,-0.3298659324645996,0.0,1.3907816410064697,0.0,0.0,1.0,-4.1977205000875983e-07,0.0,0.07688966393470764
196,2.0,0.6931471824645996,0.36184144020080566,-0.33130574226379395,0.0,1.3927855491638184,0.0,0.0,1.0,-3.438810836087214e-08,0.0,0.07508952170610428
