ptnum,bary_x,bary_y,bary_z,Cd_x,Cd_y,Cd_z,Rout,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
328,0.15762734413146973,0.5858961343765259,0.2564765214920044,1.0,0.0,0.0,3.0,312,0.0,2.2118237018585205,0.0,-2.9967401893316037e-09,-0.0004386350337881595,0.0,-0.0644657164812088,0.699999988079071,1.0
329,0.1346232295036316,0.609925389289856,0.25545138120651245,1.0,0.0,0.0,3.0,312,0.0,2.216432809829712,0.0,-5.21874765624375e-09,-0.0004828704986721277,0.0,-0.06539478898048401,0.699999988079071,1.0
330,0.1116178035736084,0.6339560151100159,0.25442618131637573,1.0,0.0,0.0,3.0,312,0.0,2.2210421562194824,0.0,-7.65162511129347e-09,-0.0005444412818178535,0.0,-0.06634663790464401,0.699999988079071,1.0
331,0.08861365914344788,0.657985270023346,0.2534010708332062,1.0,0.0,0.0,3.0,312,0.0,2.225651264190674,0.0,-4.259797847794289e-09,-0.0006233401363715529,0.0,-0.06732116639614105,0.699999988079071,1.0
332,0.06560945510864258,0.6820145845413208,0.2523759603500366,1.0,0.0,0.0,3.0,312,0.0,2.2302603721618652,0.0,-3.889790711752994e-10,-0.0007195704383775592,0.0,-0.06831841170787811,0.699999988079071,1.0
333,0.042604148387908936,0.7060450911521912,0.2513507604598999,1.0,0.0,0.0,3.0,312,0.0,2.2348697185516357,0.0,-3.779838664286217e-09,-0.0008331381832249463,0.0,-0.06933844089508057,0.699999988079071,1.0
334,0.01959991455078125,0.7300744652748108,0.25032562017440796,1.0,0.0,0.0,3.0,312,0.0,2.239478826522827,0.0,-5.043863993137165e-09,-0.0009640324278734624,0.0,-0.07038114964962006,0.699999988079071,1.0
335,0.7504650354385376,0.003337220288813114,0.24619777500629425,1.0,0.0,0.0,3.0,1344,0.0,2.2440881729125977,0.0,4.132842512660773e-09,-0.0010335160186514258,0.0,-0.07134433835744858,0.699999988079071,1.0
336,0.749906063079834,0.025880539789795876,0.22421345114707947,1.0,0.0,0.0,3.0,1344,0.0,2.248697280883789,0.0,4.054841351575078e-09,-0.0006600665510632098,0.0,-0.07171953469514847,0.699999988079071,1.0
337,0.7493469715118408,0.04842503368854523,0.20222799479961395,1.0,0.0,0.0,3.0,1344,0.0,2.2533066272735596,0.0,6.283032316645176e-09,-0.0002916548401117325,0.0,-0.07207918167114258,0.699999988079071,1.0
