ptnum,bary_x,bary_y,bary_z,Rout,faceid,theta,P_x,P_y,P_z,Rin,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,gamma
387,0.7424474954605103,0.025593021884560585,0.23195943236351013,2.0,1131,0.0,1.7755510807037354,0.0,1.5116337070963937e-09,1.0,-0.003976820036768913,0.0,-0.31279465556144714,1.0
388,0.7636207938194275,0.015767300501465797,0.22061194479465485,2.0,1131,0.0,1.7775551080703735,0.0,3.0174196474774817e-10,1.0,-0.0036652088165283203,0.0,-0.31694120168685913,1.0
389,0.7847939729690552,0.005941589828580618,0.20926444232463837,2.0,1131,0.0,1.7795591354370117,0.0,4.654093221923006e-10,1.0,-0.0033488485496491194,0.0,-0.3212045729160309,1.0
390,0.1938697099685669,0.0037873503752052784,0.80234295129776,2.0,496,0.0,1.78156316280365,0.0,-7.287070058481504e-09,1.0,-0.002723958808928728,0.0,-0.32545801997184753,1.0
391,0.1722835898399353,0.013368167914450169,0.8143482208251953,2.0,496,0.0,1.783567190170288,0.0,-5.396479707542312e-09,1.0,-0.001658746157772839,0.0,-0.32962775230407715,1.0
392,0.15069866180419922,0.022948477417230606,0.8263528347015381,2.0,496,0.0,1.7855710983276367,0.0,-4.4657437747730455e-09,1.0,-0.0006306108552962542,0.0,-0.33390456438064575,1.0
393,0.12911128997802734,0.03252989053726196,0.8383588194847107,2.0,496,0.0,1.7875752449035645,0.0,-4.138395848229948e-09,1.0,0.00036061694845557213,0.0,-0.3382892310619354,1.0
394,0.10752648115158081,0.04211015626788139,0.8503633737564087,2.0,496,0.0,1.789579153060913,0.0,-3.447212737484051e-09,1.0,0.0013147079152986407,0.0,-0.3427807092666626,1.0
395,0.08594036102294922,0.05169099569320679,0.862368643283844,2.0,496,0.0,1.7915831804275513,0.0,-2.937946996794949e-09,1.0,0.00223183655180037,0.0,-0.34737977385520935,1.0
396,0.06435424089431763,0.06127183511853218,0.8743739128112793,2.0,496,0.0,1.7935872077941895,0.0,-2.4286814781504518e-09,1.0,0.0031119436025619507,0.0,-0.3520861864089966,1.0
397,0.04276949167251587,0.07085210084915161,0.8863784074783325,2.0,496,0.0,1.795591115951538,0.0,-4.7397001878835e-09,1.0,0.003954975865781307,0.0,-0.3568996489048004,1.0
398,0.021182119846343994,0.08043351769447327,0.8983843922615051,2.0,496,0.0,1.7975952625274658,0.0,-4.647471740781839e-09,1.0,0.004761087708175182,0.0,-0.3618210256099701,1.0
399,0.0003794953227043152,0.9100013971328735,0.08961910754442215,2.0,484,0.0,1.7995991706848145,0.0,-7.819880298853832e-10,1.0,0.005525046028196812,0.0,-0.3668276071548462,1.0
400,0.020715124905109406,0.9012349843978882,0.07804989069700241,2.0,484,0.0,1.8016031980514526,0.0,5.517341250538266e-09,1.0,0.006009434815496206,0.0,-0.37084731459617615,1.0
401,0.041050754487514496,0.8924685120582581,0.06648073345422745,2.0,484,0.0,1.8036072254180908,0.0,5.052562812579708e-09,1.0,0.006501325406134129,0.0,-0.3750515580177307,1.0
402,0.06138642877340317,0.8837020397186279,0.0549115315079689,2.0,484,0.0,1.805611252784729,0.0,6.7747341070401035e-09,1.0,0.007000722456723452,0.0,-0.3794403672218323,1.0
403,0.0817221850156784,0.8749354481697083,0.04334237053990364,2.0,484,0.0,1.8076152801513672,0.0,-1.2041482255753522e-09,1.0,0.007507622707635164,0.0,-0.3840137720108032,1.0
404,0.10205654799938202,0.8661695718765259,0.0317738801240921,2.0,484,0.0,1.8096191883087158,0.0,4.1908179149174885e-09,1.0,0.008021996356546879,0.0,-0.3887714147567749,1.0
405,0.12239352613687515,0.857402503490448,0.020203972235322,2.0,484,0.0,1.8116233348846436,0.0,1.9668258133265226e-09,1.0,0.008543938398361206,0.0,-0.3937142491340637,1.0
406,0.14272789657115936,0.8486366271972656,0.00863547995686531,2.0,484,0.0,1.8136272430419922,0.0,7.4529147298108e-09,1.0,0.009073319844901562,0.0,-0.398840993642807,1.0
407,0.16031700372695923,0.002825899748131633,0.8368570804595947,2.0,1900,0.0,1.8156312704086304,0.0,1.090624812682961e-09,1.0,0.009403535164892673,0.0,-0.4038107097148895,1.0
408,0.16982132196426392,0.013970066793262959,0.8162086009979248,2.0,1900,0.0,1.8176352977752686,0.0,-1.436105900864959e-09,1.0,0.009131873957812786,0.0,-0.40791940689086914,1.0
409,0.17932504415512085,0.025113550946116447,0.7955614328384399,2.0,1900,0.0,1.8196392059326172,0.0,-9.925456012638278e-10,1.0,0.008866235613822937,0.0,-0.4121498465538025,1.0
410,0.18882989883422852,0.036258358508348465,0.7749117612838745,2.0,1900,0.0,1.821643352508545,0.0,-3.862259401188339e-09,1.0,0.008606568910181522,0.0,-0.4165027439594269,1.0
411,0.1983335018157959,0.04740184545516968,0.7542646527290344,2.0,1900,0.0,1.8236472606658936,0.0,7.63698382311162e-10,1.0,0.00835293810814619,0.0,-0.42097705602645874,1.0
412,0.20783782005310059,0.05854601040482521,0.7336161732673645,2.0,1900,0.0,1.8256512880325317,0.0,-2.013699207381592e-09,1.0,0.008105296641588211,0.0,-0.4255736768245697,1.0
413,0.2173420786857605,0.06969013810157776,0.7129678130149841,2.0,1900,0.0,1.82765531539917,0.0,-1.5510475126490064e-09,1.0,0.007863661274313927,0.0,-0.4302922785282135,1.0
414,0.2268463373184204,0.08083430677652359,0.6923193335533142,2.0,1900,0.0,1.829659342765808,0.0,-3.882814958444669e-09,1.0,0.007628028746694326,0.0,-0.43513283133506775,1.0
415,0.23635053634643555,0.09197843074798584,0.6716710329055786,2.0,1900,0.0,1.8316633701324463,0.0,-1.7618462244683997e-11,1.0,0.007398403715342283,0.0,-0.4400953948497772,1.0
416,0.24585425853729248,0.10312191396951675,0.651023805141449,2.0,1900,0.0,1.833667278289795,0.0,-3.5336404913266506e-09,1.0,0.007174795027822256,0.0,-0.44517961144447327,1.0
417,0.25535905361175537,0.11426672339439392,0.6303741931915283,2.0,1900,0.0,1.8356714248657227,0.0,-2.3323643016937012e-09,1.0,0.00695716543123126,0.0,-0.4503864347934723,1.0
418,0.2648627758026123,0.12541022896766663,0.6097270250320435,2.0,1900,0.0,1.8376753330230713,0.0,6.735686453041012e-10,1.0,0.006745566613972187,0.0,-0.45571470260620117,1.0
419,0.2743670344352722,0.13655437529087067,0.5890786051750183,2.0,1900,0.0,1.8396793603897095,0.0,-4.838042744204074e-10,1.0,0.0065399594604969025,0.0,-0.4611651599407196,1.0
