ptnum,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z,P_x,P_y,P_z,id,gamma
117,-0.24861088395118713,0.0,-0.4668234586715698,1.6424356698989868,0.0,-0.8746845722198486,0,1.0
118,-0.24728311598300934,0.0,-0.46752816438674927,1.644914984703064,0.0,-0.8700129985809326,0,1.0
119,-0.24595332145690918,0.0,-0.4682290852069855,1.647381067276001,0.0,-0.8653343319892883,0,1.0
120,-0.24460943043231964,0.0,-0.4689082205295563,1.6498337984085083,0.0,-0.8606487512588501,0,1.0
121,-0.24328777194023132,0.0,-0.46961963176727295,1.6522732973098755,0.0,-0.8559561371803284,0,1.0
122,-0.241952046751976,0.0,-0.47030916810035706,1.654699444770813,0.0,-0.8512566089630127,0,1.0
123,-0.24061435461044312,0.0,-0.4709949493408203,1.6571122407913208,0.0,-0.8465501666069031,0,1.0
124,-0.23927472531795502,0.0,-0.47167691588401794,1.6595115661621094,0.0,-0.8418369293212891,0,1.0
125,-0.23793314397335052,0.0,-0.47235509753227234,1.6618975400924683,0.0,-0.8371168375015259,0,1.0
126,-0.2365896999835968,0.0,-0.4730294346809387,1.664270043373108,0.0,-0.8323900699615479,0,1.0
127,-0.23524430394172668,0.0,-0.4736999273300171,1.6666290760040283,0.0,-0.8276565670967102,0,1.0
128,-0.23389704525470734,0.0,-0.47436660528182983,1.6689746379852295,0.0,-0.8229163885116577,0,1.0
129,-0.2325361967086792,0.0,-0.4750111699104309,1.6713067293167114,0.0,-0.8181695938110352,0,1.0
130,-0.23118522763252258,0.0,-0.47567012906074524,1.6736253499984741,0.0,-0.8134161829948425,0,1.0
131,-0.22983093559741974,0.0,-0.4763217270374298,1.675930380821228,0.0,-0.8086562156677246,0,1.0
132,-0.22847622632980347,0.0,-0.4769730269908905,1.6782219409942627,0.0,-0.8038896918296814,0,1.0
133,-0.22711968421936035,0.0,-0.4776204526424408,1.6804999113082886,0.0,-0.7991167306900024,0,1.0
134,-0.2257613092660904,0.0,-0.4782640337944031,1.6827642917633057,0.0,-0.794337272644043,0,1.0
135,-0.2244010865688324,0.0,-0.47890374064445496,1.685015082359314,0.0,-0.7895514369010925,0,1.0
136,-0.22303907573223114,0.0,-0.4795396029949188,1.6872522830963135,0.0,-0.7847591638565063,0,1.0
137,-0.22167524695396423,0.0,-0.4801715612411499,1.6894758939743042,0.0,-0.779960572719574,0,1.0
138,-0.22030963003635406,0.0,-0.48079967498779297,1.6916857957839966,0.0,-0.7751556634902954,0,1.0
139,-0.21894223988056183,0.0,-0.48142388463020325,1.6938821077346802,0.0,-0.7703444957733154,0,1.0
140,-0.21757306158542633,0.0,-0.48204419016838074,1.6960647106170654,0.0,-0.7655271291732788,0,1.0
141,-0.21620216965675354,0.0,-0.4826606214046478,1.6982336044311523,0.0,-0.7607035636901855,0,1.0
142,-0.2148294895887375,0.0,-0.48327314853668213,1.700388789176941,0.0,-0.7558738589286804,0,1.0
143,-0.21345508098602295,0.0,-0.48388177156448364,1.7025302648544312,0.0,-0.7510380744934082,0,1.0
144,-0.2120789736509323,0.0,-0.48448649048805237,1.7046579122543335,0.0,-0.7461962103843689,0,1.0
145,-0.2107011377811432,0.0,-0.4850872755050659,1.7067718505859375,0.0,-0.7413483262062073,0,1.0
146,-0.20932160317897797,0.0,-0.48568418622016907,1.7088719606399536,0.0,-0.7364944815635681,0,1.0
147,-0.20794038474559784,0.0,-0.48627713322639465,1.7109582424163818,0.0,-0.7316346764564514,0,1.0
148,-0.2065574824810028,0.0,-0.48686617612838745,1.7130306959152222,0.0,-0.7267689108848572,0,1.0
149,-0.20517581701278687,0.0,-0.4874586760997772,1.7150893211364746,0.0,-0.721897304058075,0,1.0
150,-0.20378956198692322,0.0,-0.4880398213863373,1.7171341180801392,0.0,-0.7170198559761047,0,1.0
151,-0.20240165293216705,0.0,-0.48861703276634216,1.7191650867462158,0.0,-0.7121366262435913,0,1.0
152,-0.20101210474967957,0.0,-0.48919034004211426,1.721182107925415,0.0,-0.7072476148605347,0,1.0
153,-0.1996181309223175,0.0,-0.48975223302841187,1.7231853008270264,0.0,-0.7023529410362244,0,1.0
154,-0.19822536408901215,0.0,-0.49031761288642883,1.7251745462417603,0.0,-0.6974525451660156,0,1.0
155,-0.19683101773262024,0.0,-0.49087899923324585,1.7271498441696167,0.0,-0.692546546459198,0,1.0
156,-0.1954350620508194,0.0,-0.4914364218711853,1.7291111946105957,0.0,-0.6876349449157715,0,1.0
157,-0.1940375566482544,0.0,-0.4919899106025696,1.7310585975646973,0.0,-0.6827178001403809,0,1.0
158,-0.19263960421085358,0.0,-0.4925430715084076,1.7329920530319214,0.0,-0.6777951121330261,0,1.0
159,-0.19123896956443787,0.0,-0.49308857321739197,1.7349114418029785,0.0,-0.6728670001029968,0,1.0
160,-0.18983563780784607,0.0,-0.4936264455318451,1.7368167638778687,0.0,-0.6679334044456482,0,1.0
161,-0.18843303620815277,0.0,-0.49416765570640564,1.7387081384658813,0.0,-0.6629944443702698,0,1.0
162,-0.18702779710292816,0.0,-0.49470123648643494,1.740585446357727,0.0,-0.6580501198768616,0,1.0
163,-0.18561992049217224,0.0,-0.4952271282672882,1.7424486875534058,0.0,-0.6531004905700684,0,1.0
164,-0.18421274423599243,0.0,-0.4957563579082489,1.7442978620529175,0.0,-0.6481455564498901,0,1.0
165,-0.1828029900789261,0.0,-0.49627789855003357,1.7461329698562622,0.0,-0.6431853771209717,0,1.0
166,-0.18140140175819397,0.0,-0.49681487679481506,1.74795401096344,0.0,-0.638219952583313,0,1.0
167,-0.17998863756656647,0.0,-0.4973284900188446,1.7497608661651611,0.0,-0.6332494020462036,0,1.0
168,-0.1785648763179779,0.0,-0.4978185296058655,1.7515535354614258,0.0,-0.6282737851142883,0,1.0
169,-0.17715877294540405,0.0,-0.4983435571193695,1.7533321380615234,0.0,-0.6232930421829224,0,1.0
170,-0.17574171721935272,0.0,-0.49884504079818726,1.7550965547561646,0.0,-0.6183072924613953,0,1.0
171,-0.1743232160806656,0.0,-0.49934250116348267,1.7568467855453491,0.0,-0.613316535949707,0,1.0
172,-0.1728939563035965,0.0,-0.49981632828712463,1.7585828304290771,0.0,-0.6083208918571472,0,1.0
173,-0.17148198187351227,0.0,-0.5003253221511841,1.7603046894073486,0.0,-0.6033202409744263,0,1.0
174,-0.17005005478858948,0.0,-0.500791072845459,1.762012243270874,0.0,-0.5983147621154785,0,1.0
175,-0.16862605512142181,0.0,-0.5012723207473755,1.7637056112289429,0.0,-0.593304455280304,0,1.0
176,-0.16720978915691376,0.0,-0.5017692446708679,1.7653847932815552,0.0,-0.5882893204689026,0,1.0
177,-0.16577395796775818,0.0,-0.5022227168083191,1.7670496702194214,0.0,-0.583269476890564,0,1.0
178,-0.1643459051847458,0.0,-0.5026918649673462,1.7687002420425415,0.0,-0.5782449245452881,0,1.0
179,-0.16291652619838715,0.0,-0.5031569600105286,1.7703365087509155,0.0,-0.5732157230377197,0,1.0
180,-0.1614946871995926,0.0,-0.5036377906799316,1.771958589553833,0.0,-0.5681818127632141,0,1.0
181,-0.16005291044712067,0.0,-0.5040711760520935,1.7735662460327148,0.0,-0.5631433725357056,0,1.0
182,-0.15862052142620087,0.0,-0.504527747631073,1.7751595973968506,0.0,-0.5581004023551941,0,1.0
183,-0.15718594193458557,0.0,-0.5049765110015869,1.7767386436462402,0.0,-0.5530529022216797,0,1.0
184,-0.15574924647808075,0.0,-0.50541752576828,1.7783032655715942,0.0,-0.5480009317398071,0,1.0
185,-0.15431299805641174,0.0,-0.5058618187904358,1.7798535823822021,0.0,-0.5429445505142212,0,1.0
186,-0.15287379920482635,0.0,-0.5062946677207947,1.7813894748687744,0.0,-0.5378837585449219,0,1.0
187,-0.15143504738807678,0.0,-0.5067307949066162,1.7829110622406006,0.0,-0.532818615436554,0,1.0
188,-0.1499934047460556,0.0,-0.5071554780006409,1.7844182252883911,0.0,-0.5277491807937622,0,1.0
189,-0.14855222404003143,0.0,-0.5075834393501282,1.785910964012146,0.0,-0.5226755142211914,0,1.0
190,-0.1471090018749237,0.0,-0.5080035924911499,1.7873892784118652,0.0,-0.5175976157188416,0,1.0
191,-0.14567284286022186,0.0,-0.5084397196769714,1.7888531684875488,0.0,-0.5125154852867126,0,1.0
192,-0.14422719180583954,0.0,-0.5088517069816589,1.7903026342391968,0.0,-0.5074291825294495,0,1.0
193,-0.1427803784608841,0.0,-0.5092595219612122,1.7917375564575195,0.0,-0.5023388266563416,0,1.0
194,-0.14132431149482727,0.0,-0.5096431374549866,1.7931580543518066,0.0,-0.4972444176673889,0,1.0
195,-0.13987527787685394,0.0,-0.5100427269935608,1.7945640087127686,0.0,-0.49214601516723633,0,1.0
196,-0.1384250819683075,0.0,-0.5104382634162903,1.7959555387496948,0.0,-0.4870436191558838,0,1.0
