ptnum,id,harmonic_vel_x,harmonic_vel_y,harmonic_vel_z,harmonic_coeff,P_x,P_y,P_z,coexact_vel_x,coexact_vel_y,coexact_vel_z,velocity_x,velocity_y,velocity_z,gamma
1541,0,-0.003340770723298192,-0.0,0.018438754603266716,-0.1044318750500679,-1.8301478624343872,0.0,-0.3306681513786316,-0.07151813060045242,0.0,0.437531977891922,-0.0748589038848877,0.0,0.45597073435783386,1.0
1542,0,-0.003386926371604204,-0.0,0.018425293266773224,-0.10442480444908142,-1.8293777704238892,0.0,-0.3352610170841217,-0.07586514949798584,0.0,0.44421911239624023,-0.07925207912921906,0.0,0.46264439821243286,1.0
1543,0,-0.003434791462495923,-0.0,0.01841677352786064,-0.10444506257772446,-1.8285610675811768,0.0,-0.3399219214916229,-0.08075360208749771,0.0,0.4511602520942688,-0.08418839424848557,0.0,0.46957701444625854,1.0
1544,0,-0.003484579501673579,-0.0,0.01841391809284687,-0.10449660569429398,-1.8276921510696411,0.0,-0.3446533977985382,-0.08620378375053406,0.0,0.4583440124988556,-0.08968836069107056,0.0,0.4767579138278961,1.0
1545,0,-0.003536516334861517,-0.0,0.018417472019791603,-0.1045834943652153,-1.8267652988433838,0.0,-0.34945785999298096,-0.09223630279302597,0.0,0.4657552242279053,-0.09577281773090363,0.0,0.4841727018356323,1.0
1546,0,-0.0035908501595258713,-0.0,0.018428247421979904,-0.1047101840376854,-1.8257746696472168,0.0,-0.35433757305145264,-0.09887189418077469,0.0,0.47337400913238525,-0.10246274620294571,0.0,0.49180227518081665,1.0
1547,0,-0.003647836158052087,-0.0,0.01844705268740654,-0.10488106310367584,-1.824713945388794,0.0,-0.3592945635318756,-0.1061311811208725,0.0,0.48117613792419434,-0.10977901518344879,0.0,0.49962317943573,1.0
1548,0,-0.0037077534943819046,-0.0,0.01847475953400135,-0.10510092973709106,-1.8235769271850586,0.0,-0.36433058977127075,-0.1140344962477684,0.0,0.4891316294670105,-0.11774224787950516,0.0,0.5076063871383667,1.0
1549,0,-0.003763409797102213,-0.0,0.018468668684363365,-0.10512790828943253,-1.8224080801010132,0.0,-0.3694133460521698,-0.11221713572740555,0.0,0.4903854727745056,-0.11598054319620132,0.0,0.5088541507720947,1.0
1550,0,-0.0038184921722859144,-0.0,0.018459025770425797,-0.10513577610254288,-1.8212556838989258,0.0,-0.3745076656341553,-0.11078592389822006,0.0,0.49156519770622253,-0.1146044209599495,0.0,0.5100242495536804,1.0
1551,0,-0.003873287932947278,-0.0,0.018447469919919968,-0.1051335409283638,-1.8201138973236084,0.0,-0.3796140253543854,-0.109972283244133,0.0,0.4928129315376282,-0.1138455718755722,0.0,0.5112603902816772,1.0
1552,0,-0.003927979152649641,-0.0,0.01843484304845333,-0.10512571781873703,-1.818976640701294,0.0,-0.38473302125930786,-0.10977302491664886,0.0,0.49411407113075256,-0.11370100826025009,0.0,0.5125489234924316,1.0
1553,0,-0.003982760943472385,-0.0,0.01842200756072998,-0.10511691868305206,-1.8178378343582153,0.0,-0.38986510038375854,-0.11018527299165726,0.0,0.4954521656036377,-0.11416803300380707,0.0,0.5138741731643677,1.0
1554,0,-0.00403783330693841,-0.0,0.018409810960292816,-0.10511170327663422,-1.816691279411316,0.0,-0.3950105607509613,-0.11120663583278656,0.0,0.4968094825744629,-0.11524446308612823,0.0,0.5152192711830139,1.0
1555,0,-0.00409340113401413,-0.0,0.01839909330010414,-0.10511455684900284,-1.8155308961868286,0.0,-0.4001694917678833,-0.1128351017832756,0.0,0.49816691875457764,-0.11692850291728973,0.0,0.5165660381317139,1.0
1556,0,-0.004149686545133591,-0.0,0.018390722572803497,-0.10513018071651459,-1.8143507242202759,0.0,-0.4053418040275574,-0.11506854742765427,0.0,0.49950307607650757,-0.11921823024749756,0.0,0.5178937911987305,1.0
1557,0,-0.004206913523375988,-0.0,0.01838555559515953,-0.10516317188739777,-1.813144564628601,0.0,-0.41052722930908203,-0.11790505051612854,0.0,0.500795304775238,-0.1221119612455368,0.0,0.5191808342933655,1.0
1558,0,-0.004260701593011618,-0.0,0.018381301313638687,-0.10520023852586746,-1.8119052648544312,0.0,-0.4157223403453827,-0.12202995270490646,0.0,0.5002883076667786,-0.12629066407680511,0.0,0.518669605255127,1.0
1559,0,-0.0043097930029034615,-0.0,0.01837979257106781,-0.10525057464838028,-1.8106179237365723,0.0,-0.4208989143371582,-0.12675230205059052,0.0,0.4985505938529968,-0.1310621052980423,0.0,0.5169304013252258,1.0
1560,0,-0.004360534250736237,-0.0,0.018384817987680435,-0.1053360253572464,-1.80928635597229,0.0,-0.4260666072368622,-0.1307716816663742,0.0,0.49851152300834656,-0.13513220846652985,0.0,0.5168963670730591,1.0
1561,0,-0.004412731621414423,-0.0,0.01839481294155121,-0.10544838756322861,-1.8079174757003784,0.0,-0.43124261498451233,-0.13412415981292725,0.0,0.5002061128616333,-0.13853690028190613,0.0,0.5186008810997009,1.0
1562,0,-0.00446618115529418,-0.0,0.018408209085464478,-0.10557946562767029,-1.8065177202224731,0.0,-0.43644458055496216,-0.1368345022201538,0.0,0.5036916732788086,-0.14130067825317383,0.0,0.5220998525619507,1.0
1563,0,-0.004520678427070379,-0.0,0.018423469737172127,-0.10572122782468796,-1.80509352684021,0.0,-0.4416908323764801,-0.13891561329364777,0.0,0.5090489983558655,-0.1434362828731537,0.0,0.5274724364280701,1.0
1564,0,-0.004576005972921848,-0.0,0.018439030274748802,-0.1058654636144638,-1.8036510944366455,0.0,-0.4470006227493286,-0.1403684765100479,0.0,0.5163851976394653,-0.14494448900222778,0.0,0.5348241925239563,1.0
1565,0,-0.004631927236914635,-0.0,0.018453272059559822,-0.10600367188453674,-1.802196741104126,0.0,-0.45239436626434326,-0.14118140935897827,0.0,0.5258370637893677,-0.14581334590911865,0.0,0.54429030418396,1.0
