sidelen,component,theta_file,theta,Rin,Rout,r_min_plot,r_max_plot,in_plot_window,ptnum,r,P_x,P_y,P_z,u_exact,u_numerical,u_error,exact_vx,exact_vy,exact_vz,numerical_vx,numerical_vy,numerical_vz,position_delta
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,56,1.1122244596481323,1.1122244596481323,0.0,-2.2471455807249185e-09,-4.462364094813687e-06,-0.051214837739912256,-0.05121037537581744,-4.46096737505286e-06,0.0,0.6913062930107117,-0.05121483653783798,0.0,0.5949665307998657,4.494291161449837e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,57,1.1142284870147705,1.1142284870147705,0.0,-3.8231134924515686e-10,-1.8047372908406466e-07,-0.05266079326561273,-0.052660612791883644,-1.802411162543649e-07,0.0,0.6779391765594482,-0.05266079306602478,0.0,0.581689715385437,7.646226984903137e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,58,1.1162325143814087,1.1162325143814087,0.0,-9.230085584732706e-10,-6.932614123607934e-08,-0.054157652431077126,-0.05415758310493589,-6.877621672174428e-08,0.0,0.6650465130805969,-0.05415765196084976,0.0,0.5686654448509216,1.8460171169465411e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,59,1.1182364225387573,1.1182364225387573,0.0,-3.668071402174178e-10,-5.831809537934853e-08,-0.05570532772298218,-0.0557052694048868,-5.810404246631151e-08,0.0,0.6525548100471497,-0.05570532754063606,0.0,0.5558944940567017,7.336142804348356e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,60,1.1202404499053955,1.1202404499053955,0.0,-5.782132550535835e-10,3.6429143674199697e-08,-0.05730400635036233,-0.057304042779506,3.675970106087334e-08,0.0,0.6404276490211487,-0.057304006069898605,0.0,0.5433753132820129,1.156426510107167e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,61,1.1222444772720337,1.1222444772720337,0.0,-1.1292008439411916e-09,1.0490331736534497e-07,-0.058953591225490445,-0.05895369612880781,1.0553591067719026e-07,0.0,0.6286962628364563,-0.05895359069108963,0.0,0.5311086773872375,2.258401687882383e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,62,1.1242485046386719,1.1242485046386719,0.0,-1.6221332610477646e-10,3.0940390671770064e-07,-0.059360008762133126,-0.059360318166039844,3.0949297524784924e-07,0.0,0.6173053979873657,-0.05936000868678093,0.0,0.5222418904304504,3.244266522095529e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,63,1.12625253200531,1.12625253200531,0.0,-4.0171313497872063e-10,1.2009959279278811e-06,-0.05834069121443536,-0.05834189221036329,1.2012121715088142e-06,0.0,0.606265664100647,-0.05834069103002548,0.0,0.5170159339904785,8.034262699574413e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,64,1.1282565593719482,1.1282565593719482,0.0,-4.815283727310771e-10,1.5495822173366976e-06,-0.05735833592204246,-0.05735988550425979,1.5498363836741191e-06,0.0,0.5955305099487305,-0.057358335703611374,0.0,0.5118001699447632,9.630567454621541e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,65,1.1302604675292969,1.1302604675292969,0.0,-6.668428031986195e-10,9.02046167008887e-07,-0.05641299143519853,-0.056413893481365544,9.023913776218251e-07,0.0,0.5851122736930847,-0.056412991136312485,0.0,0.5065947771072388,1.333685606397239e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,66,1.132264494895935,1.132264494895935,0.0,1.36738481648635e-10,-1.277033700018374e-06,-0.055504549234158436,-0.05550327220045842,-1.2771031379088527e-06,0.0,0.5749812126159668,-0.05550454929471016,0.0,0.5013992190361023,2.7347696329727e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,67,1.1342685222625732,1.1342685222625732,0.0,-1.0276132722530917e-10,4.615070070541618e-06,-0.05463306982840466,-0.054637684898475196,4.615121270035161e-06,0.0,0.5651345252990723,-0.05463306978344917,0.0,0.4962138235569,2.0552265445061835e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,68,1.1362725496292114,1.1362725496292114,0.0,-1.825765649776656e-10,1.5326092559590362e-08,-0.05379854523084913,-0.05379856055694169,1.541535787907833e-08,0.0,0.5555462837219238,-0.05379854515194893,0.0,0.49103856086730957,3.651531299553312e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,69,1.1382765769958496,1.1382765769958496,0.0,-4.220763738516098e-10,-4.644861286820862e-08,-0.05300098303095335,-0.05300093658234049,-4.6246075413591825e-08,0.0,0.5462130904197693,-0.053000982850790024,0.0,0.48587343096733093,8.441527477032196e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,70,1.1402806043624878,1.1402806043624878,0.0,-6.61576182725554e-10,-3.9992516888025057e-07,-0.05224037943358883,-0.05223997950841995,-3.9961352626960434e-07,0.0,0.5371415019035339,-0.05224037915468216,0.0,0.4807184338569641,1.323152365451108e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,71,1.142284631729126,1.142284631729126,0.0,1.420051021217006e-10,-2.3650259564261053e-08,-0.05151673400450358,-0.051516710354244016,-2.3715935881796213e-08,0.0,0.5282982587814331,-0.051516734063625336,0.0,0.4755735695362091,2.840102042434012e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,72,1.1442885398864746,1.1442885398864746,0.0,-2.0299389946742963e-10,1.126414772813737e-06,-0.05083008863926755,-0.05083121505404036,1.1265069588262122e-06,0.0,0.5196579694747925,-0.050830088555812836,0.0,0.4704391360282898,4.0598779893485926e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,73,1.1462925672531128,1.1462925672531128,0.0,-4.424937083413738e-10,7.741279530680391e-07,-0.05018036085447957,-0.05018113498243264,7.743253149783413e-07,0.0,0.5112716555595398,-0.05018036067485809,0.0,0.4653145670890808,8.849874166827476e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,74,1.148296594619751,1.148296594619751,0.0,-6.81993517215318e-10,1.396569805751924e-06,-0.04956759167227531,-0.049568988242081065,1.396868583469768e-06,0.0,0.5030626058578491,-0.04956759139895439,0.0,0.46020010113716125,1.363987034430636e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,75,1.1503006219863892,1.1503006219863892,0.0,-9.214933260892622e-10,1.5197949344324515e-06,-0.048991781092674026,-0.048993300887608456,1.5201915175566683e-06,0.0,0.4950549304485321,-0.04899178072810173,0.0,0.4550957977771759,1.8429866521785243e-09
