theta_file,theta,rin,rout,scope,sample_count,position_max_delta,vector_mean_error,vector_rmse,vector_max_error,relative_vector_rmse,mae_dr,rmse_dr,max_abs_dr,mae_dtheta,rmse_dtheta,max_abs_dtheta
3.32,3.3161253929138184,0.7,3.0,interior,412,0.0010234938401418358,0.011389629880629651,0.013328929869237772,0.029118123824063837,0.09296484616708134,0.008830233699575822,0.011178563499558257,0.02668416020714023,0.005989831095170026,0.007259482732633415,0.01616629532384553
3.49,3.4906585216522217,0.7,3.0,all,500,0.0014623525022246459,0.18818896417361033,0.8087251220672944,8.579716000364533,0.9249289058886808,0.015510798531145082,0.02525461064780456,0.12812077791567011,0.18241928515261457,0.8083307044173119,8.57964329581827
3.49,3.4906585216522217,0.7,3.0,interior,412,0.0014623525022246459,0.017787828061458566,0.020074860721705706,0.05694601781702348,0.1400146709123623,0.009663104276380183,0.011660349356307657,0.025492487019862987,0.01229279051765328,0.016341244930688056,0.056771595715850554
3.67,3.665191173553467,0.7,3.0,all,500,0.0013159602240342446,0.17635235112326256,0.800569870533359,8.56192396474621,0.9156023448686877,0.013259364549900624,0.027246392351641023,0.13292187701689598,0.17298236934608185,0.800106087784376,8.561920617935641
3.67,3.665191173553467,0.7,3.0,interior,412,0.0013159602240342446,0.00841618064298084,0.010841706691801381,0.03559985452131603,0.0756169815628409,0.005614429081768484,0.007452268186007753,0.02333826556913935,0.005368784558034454,0.007874408096794802,0.03535289231801142
3.84,3.839724063873291,0.7,3.0,all,500,0.0005845478657294228,0.18077320408191322,0.808713456136848,8.612118368357462,0.9249168576568629,0.01466611185209367,0.024495744223492672,0.08740663223010857,0.17588609905881436,0.8083423857820043,8.612111615640275
3.84,3.839724063873291,0.7,3.0,interior,412,0.0005845478657294228,0.011535151270084035,0.013749813296434533,0.03124424157971122,0.09590020824622546,0.00724021288678791,0.00919742069227389,0.027684718846121715,0.007725472664532721,0.010220803211887996,0.027774125918646524
4.01,4.014256954193115,0.7,3.0,all,500,0.0005848843768793936,0.18005473761004004,0.8078095856909431,8.629927546190439,0.9238846834531116,0.013075689122318226,0.020111583302358876,0.08263558206358136,0.17582083147498365,0.8075591934658696,8.62990443692472
4.01,4.014256954193115,0.7,3.0,interior,412,0.0005848843768793936,0.011570876821900698,0.013671987724514532,0.02906099704880906,0.09535748810670978,0.007717034714665168,0.009799668390334257,0.023092835335312766,0.007214978651287791,0.009533611476180454,0.025013255837365828
4.19,4.188790321350098,0.7,3.0,all,500,0.0013156943241282254,0.17810186894561753,0.8120498830358076,8.622885740644572,0.9287335135444431,0.010055867449053008,0.01953381949517733,0.10107597563019047,0.17408339740584527,0.811814906511576,8.62288307100458
4.19,4.188790321350098,0.7,3.0,interior,412,0.0013156943241282254,0.006484735845507395,0.009002115279490047,0.03860611484350652,0.06278655953248168,0.004846430121594812,0.007467755963253167,0.03839207860348221,0.003271556854277988,0.00502699715322427,0.023274433296692598
4.36,4.363322734832764,0.7,3.0,all,500,0.0014621281786716274,0.1777392758694279,0.8065674172122427,8.604912247260941,0.9224605027387073,0.012587613665996762,0.02290204044391318,0.08606834925043069,0.1730094485078262,0.8062422061960868,8.604843011431756
4.36,4.363322734832764,0.7,3.0,interior,412,0.0014621281786716274,0.011335225148112615,0.014128797739089625,0.03903139210199513,0.09854384090626533,0.0065271671243230505,0.010738109243992064,0.039025341206874155,0.0071095284955879304,0.009182370903867712,0.02516162505370087
4.54,4.537855625152588,0.7,3.0,all,500,0.0010232583571414215,0.17984853261836564,0.8086035169091046,8.615007479197471,0.9247922559776105,0.01583323665316693,0.026928259030030762,0.1012463108788059,0.1741363517099755,0.808155007670796,8.614992867572129
4.54,4.537855625152588,0.7,3.0,interior,412,0.0010232583571414215,0.011158168680604545,0.013750389772011125,0.03676483415959456,0.09590391112631375,0.007953314283359028,0.010997645505411761,0.0346932950881666,0.006085402225238235,0.008253787749847013,0.035785153529462876
4.71,4.71238899230957,0.7,3.0,all,500,2.971137602614249e-08,0.17466109181467357,0.7977568868642659,8.569986287966579,0.9123854981619571,0.014005622698025185,0.021890247667148754,0.10180730425827496,0.16845556434836756,0.7974564988740365,8.569976955497223
4.71,4.71238899230957,0.7,3.0,interior,412,2.971137602614249e-08,0.011638552876477404,0.013393265751571454,0.03235974920860437,0.09341346021342797,0.009333497261628378,0.011251456820013573,0.022698071009537257,0.005463464804515508,0.007265279548619372,0.023666202839172146
4.89,4.8869218826293945,0.7,3.0,all,500,0.0010232583571414215,0.18252937954504078,0.8113418216432384,8.596927709601811,0.9279214976169456,0.013163545786226421,0.027193411685784135,0.12308327708953738,0.17947329640771328,0.8108859783645639,8.596865521435703
4.89,4.8869218826293945,0.7,3.0,interior,412,0.0010232583571414215,0.009254224406931154,0.01193660616901473,0.052021662528954425,0.08325330123910997,0.005309886602832953,0.006908971734582923,0.028971548135072266,0.0063995154820305,0.009733893178214702,0.05168877592217641
